Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Link,1421523,1418384,2364809,12942,1552,1405,108,39,7073,5892,38,NA,128,0,1,0,1,0,1,0,1394712,0,12796,26811,146,Facebook,Organic
Photo,2467637,2471805,3908251,116899,63167,60622,1055,1490,72,47827,49505,NA,296,0,0,0,0,0,0,0,2188513,0,107150,279124,9749,Facebook,Organic
Link,5399450,5339386,8890097,284079,20931,16213,4064,654,238566,97071,47,1,473,0,866,0,738,0,378,0,4923083,0,273382,476367,10697,Facebook,Organic
Video,2684270,2639529,4057699,200812,15180,13113,1534,533,627,165620,1020,125958,241,16915,440682,8,376670,8,196723,2,2343237,0,183840,341033,16972,Facebook,Organic
Video,3444610,3425772,5309426,307487,31363,25158,4789,1416,438,268202,2521,197383,351,17065,659188,0,571906,0,358021,0,2868385,0,268755,576225,38732,Facebook,Organic
Link,2217207,2229688,3519693,73013,4297,3865,391,41,60522,24405,NA,2,231,0,214,0,131,0,95,0,2137020,0,71875,80187,1138,Facebook,Organic
Video,2410523,2403631,3635169,210957,7095,6451,483,161,172,163518,1017,145352,315,12691,462419,1,311292,1,242956,1,2337653,0,203855,72870,7102,Facebook,Organic
Video,1785697,1795070,2851995,154628,10308,8756,1146,406,273,118790,825,100464,159,12819,349041,2,257316,0,192138,0,1703841,0,146382,81856,8246,Facebook,Organic
Link,1465070,1481725,2399117,17263,1752,1600,124,28,8306,10259,2,4,125,0,578,0,424,0,347,0,1445493,0,17123,19577,140,Facebook,Organic
Video,2664081,2661902,4184265,235631,9153,8108,776,269,396,192643,1090,164025,230,12094,540123,2,408944,1,338317,1,2553940,0,228783,110141,6848,Facebook,Organic
Photo,4329174,4329875,7120420,582440,48892,45119,2366,1407,248,165321,664001,2,394,0,0,0,0,0,0,0,3668930,0,527197,660244,55243,Facebook,Organic
Link,5952893,5934646,9898783,323248,28403,20774,6388,1241,282268,95402,805,NA,504,0,357,0,256,0,152,0,5347995,0,307987,604898,15261,Facebook,Organic
Video,2294810,2279994,3538345,193924,11518,10008,1106,404,805,159870,1326,128789,205,12947,431400,0,333732,0,211732,0,2160657,0,185238,134153,8686,Facebook,Organic
Video,2855995,2888738,4627470,276093,9421,8043,1092,286,628,225757,1306,183945,249,13289,602717,0,421225,0,329468,0,2764603,0,265074,91392,11019,Facebook,Organic
Link,2326917,2344214,3728031,80581,4921,4323,554,44,61534,33554,5,NA,229,0,219,0,166,0,106,0,2289970,0,79256,36947,1325,Facebook,Organic
Video,2797635,2813108,4530564,217269,7272,6446,618,208,433,175995,901,148996,239,13758,516164,0,416851,0,291182,0,2714738,0,210362,82897,6907,Facebook,Organic
Photo,8415939,8517852,13102861,482488,282400,269673,2731,9996,46,170861,211554,4,1014,0,0,0,0,0,0,0,5016650,0,399265,3399289,83223,Facebook,Organic
Video,2967620,2994169,4886056,232943,10380,8113,1954,313,389,195277,1345,159275,218,11177,541053,1,330553,0,304763,0,2831991,0,224273,135629,8670,Facebook,Organic
Link,482543,479427,858691,28231,4543,3329,1074,140,20390,11871,8,1,26,0,245,0,163,0,127,0,388720,0,26546,93823,1685,Facebook,Organic
Video,2409330,2404026,3957879,214031,11956,9845,1596,515,196,168257,1387,137535,202,11710,459788,2,314080,2,264057,2,2239557,0,202224,169773,11807,Facebook,Organic
Link,2001091,2018238,3167510,68204,5153,4409,665,79,55990,29927,3,4,213,0,249,0,218,0,119,0,1941381,0,67404,59710,800,Facebook,Organic
Video,3165313,3182922,5219913,249632,10655,9134,1117,404,233,215554,1240,182832,249,16425,615952,1,532577,1,312276,0,2860032,0,229923,305281,19709,Facebook,Organic
Video,4524185,4602895,7575443,453379,27796,22271,4193,1332,888,413816,2860,307552,392,14654,974954,1,838130,1,609178,1,3863161,0,394577,661024,58802,Facebook,Organic
Link,3393097,3411238,5673908,147148,9164,7127,1673,364,130947,46121,7,8,351,0,529,0,310,0,259,0,3210338,0,145690,182759,1458,Facebook,Organic
Video,3725082,3726523,6213581,329166,14590,12556,1497,537,884,282320,1364,217919,289,11625,766829,0,478655,0,418827,0,3474119,0,316023,250963,13143,Facebook,Organic
Link,3556332,3560424,5716108,127324,7897,6827,970,100,111791,40917,2,NA,346,0,5,0,4,0,2,0,3435400,0,124678,120932,2646,Facebook,Organic
Link,192207,190071,310429,4203,1043,768,246,29,2296,1885,4,1,11,0,227,0,194,0,135,0,149911,0,3504,42296,699,Facebook,Organic
Video,687582,707401,1271584,46639,3566,2824,487,255,100,25309,282,38692,30,13246,113532,0,101155,0,73624,0,552132,0,32691,135450,13948,Facebook,Organic
Video,2747058,2801337,5137848,244029,14232,11724,1851,657,332,202436,1328,174450,194,16681,580181,0,503607,0,405211,0,2296377,0,218362,450681,25667,Facebook,Organic
Link,259598,258209,426329,2648,636,524,95,17,1384,1075,8,NA,38,0,8,0,6,0,6,0,245404,0,2570,14194,78,Facebook,Organic
Photo,155856,153265,250547,29845,3422,3218,172,32,29,2792,39453,1,14,0,0,0,0,0,0,0,110566,0,22380,45290,7465,Facebook,Organic
Video,1389993,1405511,2243334,54991,5731,5208,147,376,68,27342,338,35972,39,6890,211855,44,174967,38,180066,39,837730,0,35023,552263,19968,Facebook,Organic
Link,2813199,2817102,4494746,107906,5497,4960,454,83,92007,31427,25,NA,285,0,227,0,189,0,111,0,2732334,0,105635,80865,2271,Facebook,Organic
Video,1020083,1050247,1988129,71847,4206,3598,388,220,181,32922,406,58674,41,18153,165338,0,151074,0,88159,0,844129,0,55394,175954,16453,Facebook,Organic
Video,816164,849190,1526184,67137,4734,3576,894,264,116,38755,464,49872,21,10111,144329,0,102572,0,103819,0,662121,0,48267,154043,18870,Facebook,Organic
Video,2231072,2210972,3730848,199507,10531,9189,943,399,356,175065,845,140919,178,12243,492175,0,297720,0,250188,0,1945046,0,181873,286026,17634,Facebook,Organic
Link,1875417,1871644,3308223,19940,1682,1415,211,56,13485,7383,NA,1,166,0,0,0,0,0,0,0,1846032,0,19767,29385,173,Facebook,Organic
Link,2559932,2573701,4258747,77815,4821,4252,517,52,61419,25648,NA,1,233,0,313,0,207,0,151,0,2487908,0,76370,72024,1445,Facebook,Organic
Video,4134256,4165443,6672680,307703,10813,9016,1286,511,595,256672,1304,214866,292,12222,723186,0,489264,0,382578,0,3231782,0,274835,902474,32868,Facebook,Organic
Video,5741652,5763200,10319927,618597,33586,26975,4898,1713,1129,555110,3818,454728,432,17790,1324253,0,1191824,0,923634,0,4498297,0,530866,1243355,87731,Facebook,Organic
Video,1655363,1678808,3021084,149577,9290,7422,1420,448,130,92278,1332,107955,86,13011,336815,1,269636,1,211426,1,1380450,0,128220,274913,21357,Facebook,Organic
Photo,4127645,4182498,7100982,620507,37510,33673,2836,1001,60,136594,669524,2,386,0,0,0,0,0,0,0,3840354,0,598947,287291,21560,Facebook,Organic
Link,1620147,1616219,2755540,22910,2050,1665,345,40,10718,13073,510,NA,143,0,1,0,1,0,1,0,1584762,0,22503,35385,407,Facebook,Organic
Link,1159619,1133983,1960229,12595,1468,1299,144,25,6695,6127,128,NA,88,0,8,0,5,0,5,0,1044518,0,11624,115101,971,Facebook,Organic
Link,2595570,2649169,4378679,83590,7358,6721,529,108,63435,29755,51,2,295,0,263,0,229,0,198,0,2403701,0,77472,191869,6118,Facebook,Organic
Video,4587563,4565906,8322371,378372,19245,15275,2907,1063,912,312464,2090,281335,380,13246,917092,0,810466,0,716498,0,3957269,0,339863,630294,38509,Facebook,Organic
Video,5129525,5061771,8667250,461728,20683,17568,2097,1018,1047,390379,2249,344907,379,11923,1095203,1,731255,1,639947,1,4067412,0,407934,1062113,53794,Facebook,Organic
Video,6087409,6143790,11367050,539417,37207,27641,7364,2202,1058,444764,3192,402680,446,18793,1277947,0,1106521,0,847757,0,4639e3,0,453104,1448409,86313,Facebook,Organic
Link,1937578,1948381,3308950,28002,2375,2084,243,48,17444,13897,NA,2,143,0,1,0,0,0,0,0,1889650,0,27393,47928,609,Facebook,Organic
Link,2543746,2539485,4187439,85022,6685,6068,532,85,71060,26294,17,NA,206,0,1,0,1,0,0,0,2467760,0,84139,75986,883,Facebook,Organic
Link,1959994,1980836,3204409,66718,6233,5255,869,109,51034,23941,2,NA,157,0,13,0,12,0,8,0,1881022,0,65280,78972,1438,Facebook,Organic
Link,4204027,4205778,7249172,216828,16941,12692,3750,499,190351,86696,7,4,405,0,581,0,475,0,393,0,3908738,0,208683,295289,8145,Facebook,Organic
Video,2812247,2875843,5380320,277465,20813,15639,4045,1129,1287,168160,1897,203623,139,11561,624919,13,535431,11,454483,10,2170995,0,226033,641252,51432,Facebook,Organic
Link,1349475,1362233,2326640,17660,2028,1733,250,45,9901,8120,NA,NA,124,0,1,0,1,0,1,0,1296147,0,17083,53328,577,Facebook,Organic
Link,2978268,2967586,4958947,110731,6358,5532,757,69,95422,31795,NA,NA,296,0,25,0,18,0,15,0,2835222,0,109381,143046,1350,Facebook,Organic
Link,364172,368026,606059,4332,695,545,132,18,2086,2250,NA,2,11,0,761,0,449,0,449,0,303717,0,3975,60455,357,Facebook,Organic
Video,1125450,1164914,1982630,85370,6444,4816,1135,493,169,30878,512,70478,26,9770,197331,0,131102,0,131862,0,897288,0,63130,228162,22240,Facebook,Organic
Video,1044408,1067834,1761242,72900,3252,2628,435,189,73,30270,329,59744,21,9877,168149,0,123377,0,124557,0,806808,0,49126,237600,23774,Facebook,Organic
Video,873636,874612,1447636,55528,2982,2419,368,195,26,13236,276,51668,10,12713,134203,0,97528,0,67838,0,727053,0,44551,146583,10977,Facebook,Organic
